no water; 2019-06-01 16:17:03.440593
no water; 2019-06-01 16:17:56.688940
no water; 2019-06-01 16:18:02.005741
no water; 2019-06-01 16:18:08.302077
no water; 2019-06-01 16:18:13.531621
no feed; 2019-06-01 16:18:15.316327
no feed; 2019-06-01 16:18:15.535179
no feed; 2019-06-01 16:18:16.032771
no water; 2019-06-01 16:18:19.379449
no feed; 2019-06-01 16:18:20.740628
no water; 2019-06-01 16:18:25.190324
no water; 2019-06-01 16:18:30.177644
no water; 2019-06-01 16:18:35.827586
no water; 2019-06-01 16:18:42.302338
no feed; 2019-06-01 16:18:46.208980
no water; 2019-06-01 16:18:47.375720
no water; 2019-06-01 16:18:58.909913
no water; 2019-06-01 16:19:07.238957
no feed; 2019-06-01 16:19:12.249366
no water; 2019-06-01 16:19:12.978714
no feed; 2019-06-01 16:19:15.943666
no water; 2019-06-01 16:19:19.241587
no water; 2019-06-01 16:19:25.080871
no water; 2019-06-01 16:19:30.301248
no water; 2019-06-01 16:19:39.197653
no feed; 2019-06-01 16:19:41.115863
no water; 2019-06-01 16:19:44.702859
no feed; 2019-06-01 16:21:31.849783
no feed; 2019-06-01 16:21:32.272295
no feed; 2019-06-01 16:23:17.515557
no feed; 2019-06-01 16:24:31.057170
no feed; 2019-06-01 16:25:12.187595
no feed; 2019-06-01 16:31:24.547228
no feed; 2019-06-01 16:31:39.220939
no feed; 2019-06-01 16:33:23.510660
no feed; 2019-06-01 16:36:51.386301
no feed; 2019-06-01 16:41:44.255296
no feed; 2019-06-01 16:52:13.958225
no feed; 2019-06-01 17:14:13.533613
no feed; 2019-06-01 17:14:30.633884
no feed; 2019-06-01 17:14:51.724480
no feed; 2019-06-01 17:15:11.809523
no feed; 2019-06-01 17:15:31.887911
no feed; 2019-06-01 17:15:55.971011
no feed; 2019-06-01 17:16:15.055481
no feed; 2019-06-01 17:16:32.123480
no feed; 2019-06-01 17:16:52.191772
no feed; 2019-06-01 17:17:14.277360
no feed; 2019-06-01 17:17:33.343366
no feed; 2019-06-01 17:17:42.391755
no feed; 2019-06-01 17:17:45.395399
no feed; 2019-06-01 17:17:59.452676
no feed; 2019-06-01 17:18:05.457803
no feed; 2019-06-01 17:18:22.514919
no feed; 2019-06-01 17:40:07.058357
no feed; 2019-06-09 16:44:46.623829
no feed; 2019-06-09 16:48:15.245529
no feed; 2019-06-09 16:49:48.536536
no feed; 2019-06-09 17:17:50.469168
